survey_name,survey_id,StartDate,EndDate,ResponseId,trolley_1_resp,trolley_1_rate,trolley_1_just,speedboat_1_resp,speedboat_1_rate,trolley_2_resp,trolley_2_rate,trolley_2_just,speedboat_2_resp,speedboat_2_rate,trolley_3_resp,trolley_3_rate,trolley_3_just,speedboat_3_resp,speedboat_3_rate,trolley_4_resp,trolley_4_rate,trolley_4_just,speedboat_4_resp,speedboat_4_rate,trolley_5_resp,trolley_5_rate,trolley_5_just,speedboat_5_resp,speedboat_5_rate,trolley_6_resp,trolley_6_rate,trolley_6_just,speedboat_6_resp,speedboat_6_rate,trolley_attention,speedboat_attention,confusion,disbelief,familiarity,careless_1,careless_2,careless_3,household_income,currency_1,living_area,oxford_utilitarian_1,oxford_utilitarian_2,oxford_utilitarian_3,oxford_utilitarian_4,oxford_utilitarian_5,oxford_utilitarian_6,oxford_utilitarian_7,oxford_utilitarian_8,oxford_utilitarian_9,individualism_scale_1,individualism_scale_2,individualism_scale_3,individualism_scale_4,individualism_scale_5,individualism_scale_6,individualism_scale_7,individualism_scale_8,individualism_scale_9,individualism_scale_10,individualism_scale_11,individualism_scale_12,individualism_scale_13,individualism_scale_14,individualism_scale_15,individualism_scale_16,religious_rate,religion_1,religion_2,religion_3,religion_4,religion_5,religion_6,religion_7,religion_8,religion_9,religion_10,religion_11,religion_12,religion_13,religion_14,religion_15,religion_16,religion_16_TEXT,education_leve,education_level_iran,education_level_germ,age_1,sex,countr_origin_1,immigrant_back,technical_problems,technical_problems_2_TEXT,further_comments,native_language,fluency,Q_Lang,lab,attention,FL_24_DO_Footbridgepole,FL_24_DO_Footbridgeswitch,FL_22_DO_Standardswitch,FL_22_DO_Standardfootbridge,FL_22_DO_Loop,FL_22_DO_Obstaclecollide,trolley_attention_DO_1,trolley_attention_DO_2,trolley_attention_DO_3,trolley_attention_DO_4,trolley_attention_DO_5,trolley_attention_DO_6,speedboat_attention_DO_1,speedboat_attention_DO_2,speedboat_attention_DO_3,speedboat_attention_DO_4,speedboat_attention_DO_5,scenario1,scenario2
PSA006_Eastern,SV_0GO7CYZ1zsBNK2F,2020-04-17T03:18:34Z,2020-04-17T03:29:49Z,R_2sRYsW6J8VxFirA,NA,NA,NA,NA,NA,1,6,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,3,2,2,1,"150,000",101,2,4,3,2,5,4,5,1,2,3,7,3,4,6,8,6,5,7,6,7,3,5,5,8,2,6,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,2,131,2,1,NA,NA,1,1,EN,MYS_004,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Switch,NA
PSA006_Eastern,SV_0GO7CYZ1zsBNK2F,2020-04-17T03:24:48Z,2020-04-17T04:05:12Z,R_2YEfH8Y4fx3a6Rb,2,2,"Although pushing the workman with the heavy backpack off the footbridge will save the lives of five other workmen, doing so will still result in the death of that one workman.",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,2,2,2,1,>10k,127,2,6,2,5,2,5,2,2,1,2,8,4,3,9,5,1,8,3,9,9,9,9,5,7,5,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,5,2,195,2,1,NA,my highest qualifications is a diploma not high school. it was not included in the options.,1,1,EN,MYS_004,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pole,NA
PSA006_Eastern,SV_0GO7CYZ1zsBNK2F,2020-04-17T07:03:48Z,2020-04-17T07:18:25Z,R_3NE9m2DjohrRcoO,1,7,小乔的初衷是好的。我倾向于无论推不推道德上都可以接受。两种做法可以和而不同。,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,2,2,1,400000,33,2,4,4,4,6,2,5,3,4,3,7,8,6,3,3,1,7,7,7,6,3,3,5,6,2,6,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,5,1,44,2,1,NA,NA,1,1,ZH-S,CHN_016,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pole,NA
PSA006_Eastern,SV_0GO7CYZ1zsBNK2F,2020-04-17T07:37:11Z,2020-04-17T07:54:13Z,R_2tLT09MtECHqf6N,NA,NA,NA,NA,NA,1,2,"Joe is no one to decides the fate of any human being. But this situation Joe needs to push the switch. Even though this is unacceptable, but he has to do it to save as many lives he can",2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,3,2,2,1,900000,66,2,6,3,2,6,3,5,5,5,2,8,7,7,9,9,6,6,7,8,8,8,8,8,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,9,1,100,2,1,NA,NA,1,1,EN,IND_003,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Switch,NA
PSA006_Eastern,SV_0GO7CYZ1zsBNK2F,2020-04-17T07:04:09Z,2020-04-17T07:55:01Z,R_eqRewymo0ijewa5,2,1,"It's morally wrong to kill someone. On a utilitarian perspective the action is a good one, but humans are emotional, social beings and hence it's morally unacceptable for Joe to kill an innocent person.",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,1,2,2,1,1200000,66,2,1,1,1,1,1,1,1,7,7,5,5,7,8,1,9,9,5,5,8,5,7,9,9,1,9,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,7,1,100,2,1,NA,NA,1,1,EN,IND_003,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pole,NA
PSA006_Eastern,SV_0GO7CYZ1zsBNK2F,2020-04-17T04:24:52Z,2020-04-17T09:07:03Z,R_bqjkIdK6jLluu2Z,NA,NA,NA,NA,NA,1,3,He could save more lives by doing that,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,3,2,2,1,"900,800",101,2,4,5,5,3,4,6,4,6,5,6,6,6,7,6,2,5,3,8,7,7,9,9,9,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,5,2,131,2,1,NA,NA,1,1,EN,MYS_004,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Switch,NA
PSA006_Eastern,SV_0GO7CYZ1zsBNK2F,2020-04-17T08:56:41Z,2020-04-17T09:13:51Z,R_2DTfq809iMTMMRc,2,1,同理，有五个病人要做器官移植，他们所需要的器官都不一样，而不做器官移植就活不下去。请问小乔作为一个医生，会从大街上拉一个完全健康的人，把他杀了然后把他的器官移植给那五个人吗？,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,2,2,1,10，000，000,33,2,2,2,3,6,6,2,6,2,2,4,4,3,4,9,8,9,9,5,4,5,5,7,7,9,9,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,1,44,2,1,NA,NA,1,1,ZH-S,CHN_016,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pole,NA
PSA006_Eastern,SV_0GO7CYZ1zsBNK2F,2020-04-17T09:37:32Z,2020-04-17T09:48:26Z,R_3flbW5tkRp4jkFN,NA,NA,NA,NA,NA,1,7,Morally acceptable action is something where we intend to do actions which are right even if they are difficult,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,3,2,2,1,1000000,66,2,4,6,4,4,7,4,5,5,5,9,8,9,9,9,6,9,6,7,7,3,6,6,9,8,8,5,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,9,1,100,2,1,NA,NA,1,1,EN,IND_003,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Switch,NA
PSA006_Eastern,SV_0GO7CYZ1zsBNK2F,2020-04-17T09:37:24Z,2020-04-17T10:02:33Z,R_qzppabvfmNEj9Hr,2,2,"Throwing worker off the bridge is equivalent to murder. Joe can not be the one to decide who lives or die. This situation was not created by Joe, So Joe need not to take the responsibility for the other people death.",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,1,2,2,1,1000000,66,1,3,1,6,4,3,4,2,1,5,9,9,8,9,7,3,3,5,4,7,5,7,5,8,8,9,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,8,1,100,2,1,NA,NA,1,1,EN,IND_003,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pole,NA
PSA006_Eastern,SV_0GO7CYZ1zsBNK2F,2020-04-17T14:16:04Z,2020-04-17T14:25:14Z,R_3mZXvUKgCg0jPnH,2,3,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,3,2,2,1,1200000,66,2,1,1,1,5,2,4,2,2,1,8,2,8,7,7,6,7,7,5,6,3,6,8,6,7,7,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,9,1,100,2,1,NA,NA,1,1,EN,IND_003,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pole,NA
