survey_name,survey_id,StartDate,EndDate,ResponseId,trolley_1_resp,trolley_1_rate,trolley_1_just,speedboat_1_resp,speedboat_1_rate,trolley_2_resp,trolley_2_rate,trolley_2_just,speedboat_2_resp,speedboat_2_rate,trolley_3_resp,trolley_3_rate,trolley_3_just,speedboat_3_resp,speedboat_3_rate,trolley_4_resp,trolley_4_rate,trolley_4_just,speedboat_4_resp,speedboat_4_rate,trolley_5_resp,trolley_5_rate,trolley_5_just,speedboat_5_resp,speedboat_5_rate,trolley_6_resp,trolley_6_rate,trolley_6_just,speedboat_6_resp,speedboat_6_rate,trolley_attention,speedboat_attention,confusion,disbelief,familiarity,careless_1,careless_2,careless_3,household_income,currency_1,living_area,oxford_utilitarian_1,oxford_utilitarian_2,oxford_utilitarian_3,oxford_utilitarian_4,oxford_utilitarian_5,oxford_utilitarian_6,oxford_utilitarian_7,oxford_utilitarian_8,oxford_utilitarian_9,individualism_scale_1,individualism_scale_2,individualism_scale_3,individualism_scale_4,individualism_scale_5,individualism_scale_6,individualism_scale_7,individualism_scale_8,individualism_scale_9,individualism_scale_10,individualism_scale_11,individualism_scale_12,individualism_scale_13,individualism_scale_14,individualism_scale_15,individualism_scale_16,religious_rate,religion_1,religion_2,religion_3,religion_4,religion_5,religion_6,religion_7,religion_8,religion_9,religion_10,religion_11,religion_12,religion_13,religion_14,religion_15,religion_16,religion_16_TEXT,education_leve,education_level_iran,education_level_germ,age_1,sex,countr_origin_1,immigrant_back,technical_problems,technical_problems_2_TEXT,further_comments,native_language,fluency,Q_Lang,lab,attention,FL_24_DO_Footbridgepole,FL_24_DO_Footbridgeswitch,FL_22_DO_Standardswitch,FL_22_DO_Standardfootbridge,FL_22_DO_Loop,FL_22_DO_Obstaclecollide,trolley_attention_DO_1,trolley_attention_DO_2,trolley_attention_DO_3,trolley_attention_DO_4,trolley_attention_DO_5,trolley_attention_DO_6,speedboat_attention_DO_1,speedboat_attention_DO_2,speedboat_attention_DO_3,speedboat_attention_DO_4,speedboat_attention_DO_5,scenario1,scenario2
PSA006_Eastern,SV_0GO7CYZ1zsBNK2F,2020-05-31T02:54:01Z,2020-05-31T03:03:18Z,R_1EjwKWosbaC3CVS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,2,3,NA,NA,NA,NA,NA,5,5,2,2,1,2,2,1,250000,33,2,2,3,1,3,6,5,4,1,3,5,7,5,5,7,5,7,6,4,4,3,6,9,7,7,7,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,15,1,44,2,1,NA,NA,1,1,ZH-S,CHN_014,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Loop
PSA006_Eastern,SV_0GO7CYZ1zsBNK2F,2020-05-31T02:53:44Z,2020-05-31T03:10:16Z,R_3PLWmj53BeaIbZX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,改变方向导致一个人丧生，与原来轨迹导致丧生5次，相比之下是同样令人悲哀。道德上接收，但不提倡也不反对——伺机谋杀除外。,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,2,3,2,2,1,300000,33,2,1,4,2,3,7,3,3,2,2,7,6,7,7,7,5,7,6,6,5,5,5,3,7,5,6,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,17,1,44,2,1,NA,无,1,1,ZH-S,CHN_014,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Standardswitch
PSA006_Eastern,SV_0GO7CYZ1zsBNK2F,2020-05-31T03:02:42Z,2020-05-31T03:13:11Z,R_cUeGKxyOIXhSXiF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,其他人得到了活的机会,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,1,40000,33,2,3,3,3,3,5,6,3,3,3,9,9,1,9,9,5,5,6,7,6,7,7,8,9,6,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,我就是我,3,NA,NA,10,1,44,2,1,NA,无,1,1,ZH-S,CHN_014,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Standardfootbridge
PSA006_Eastern,SV_0GO7CYZ1zsBNK2F,2020-05-31T02:56:16Z,2020-05-31T03:14:10Z,R_2YS6hm8J26fX9XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,"铁轨是失控状态，这种情况下，传统的中国思想中，小乔的行为最大限度的减少这起事件中的伤亡人数，两害相权取其轻。
",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,2,3,2,2,1,80000,33,1,2,2,1,5,4,3,1,1,1,9,9,8,7,7,6,6,8,9,7,6,6,9,6,9,8,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,5,2,44,2,1,NA,没有，谢谢,1,1,ZH-S,CHN_014,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Standardswitch
PSA006_Eastern,SV_0GO7CYZ1zsBNK2F,2020-05-31T02:57:09Z,2020-05-31T03:21:21Z,R_1GWaBNkVk8mYrzr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,不能接受，不尊重生命,2,1,6,5,2,2,1,2,2,1,20000,33,2,1,1,1,5,2,4,1,2,2,9,9,5,9,9,7,7,9,9,9,9,9,9,9,9,9,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,22,2,44,2,1,NA,无,1,1,ZH-S,CHN_014,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Obstaclecollide
PSA006_Eastern,SV_0GO7CYZ1zsBNK2F,2020-05-31T03:08:05Z,2020-05-31T03:41:10Z,R_1HbMqhMasS4bAN8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,任何人不能以任何名义随便剥夺另一个无辜的人的生命,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,2,2,1,300000,33,2,2,1,2,4,4,6,2,4,4,8,5,3,5,6,6,7,6,5,5,5,7,6,8,6,7,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,27,1,44,2,1,NA,NA,1,1,ZH-S,CHN_014,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Standardfootbridge
PSA006_Eastern,SV_0GO7CYZ1zsBNK2F,2020-05-31T03:12:54Z,2020-05-31T03:44:34Z,R_22YysEkxn8VA8Iu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,2,1,6,5,2,2,1,2,2,1,200000,33,2,4,5,3,5,5,5,2,6,4,9,7,8,4,6,9,9,7,6,7,8,9,9,9,9,7,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,33,1,44,1,1,NA,NA,1,1,ZH-S,CHN_014,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Obstaclecollide
PSA006_Eastern,SV_0GO7CYZ1zsBNK2F,2020-05-31T03:06:19Z,2020-05-31T03:49:59Z,R_ZCRUi604sbyCzq9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,由自身判断并采取行动而导致他人受到伤害或死亡的行为无法接受，我们没有权利去主动伤害任何人。,2,2,6,5,2,2,1,2,2,1,25w,33,2,3,2,4,3,4,4,2,2,2,7,7,3,5,6,2,6,6,6,5,7,7,6,7,7,7,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,19,1,44,2,1,NA,NA,1,1,ZH-S,CHN_014,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Obstaclecollide
PSA006_Eastern,SV_0GO7CYZ1zsBNK2F,2020-05-31T03:58:36Z,2020-05-31T04:14:53Z,R_24pjPAZxtZ0xBjT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,小乔不能决定其他人的命运,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,2,2,2,2,1,40,121,2,1,2,2,5,6,5,5,3,3,8,7,6,7,7,7,7,7,7,6,8,8,7,7,8,7,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,17,1,44,2,1,NA,NA,1,1,ZH-S,CHN_014,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Standardswitch
PSA006_Eastern,SV_0GO7CYZ1zsBNK2F,2020-05-31T03:14:16Z,2020-05-31T04:32:42Z,R_2xWNoVu1Vo1UFRc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,所有人的生命都是平等的。我不能为了拯救别人，改变另外一个人的生命。,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,1,2,1,2,2,1,25,2,2,4,2,3,3,4,2,4,2,2,9,8,3,3,7,5,6,3,7,5,6,6,9,9,8,9,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,19,2,44,2,1,NA,NA,1,1,ZH-S,CHN_014,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Standardswitch
PSA006_Eastern,SV_0GO7CYZ1zsBNK2F,2020-05-31T04:22:26Z,2020-05-31T05:38:53Z,R_3KUY8BP0zxfDnLc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,伤亡人数少,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,1,2,2,2,1,15,1,2,5,1,1,5,1,7,4,4,2,9,9,6,5,8,9,9,9,5,5,5,7,8,8,9,9,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,22,1,44,2,1,NA,无,1,1,ZH-S,CHN_014,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Standardswitch
